stateProvince,year,num_observations,num_users
Alabama,2015,730,62
Alabama,2016,3497,145
Alabama,2017,5583,195
Alabama,2018,9592,417
Alabama,2019,18422,876
Alabama,2020,20689,1210
Alaska,2015,1332,53
Alaska,2016,814,99
Alaska,2017,3952,101
Alaska,2018,3151,101
Alaska,2019,2473,194
Alaska,2020,5073,165
Arizona,2015,2847,245
Arizona,2016,4780,405
Arizona,2017,23724,538
Arizona,2018,26972,698
Arizona,2019,26389,1480
Arizona,2020,28420,1866
Arkansas,2015,1428,59
Arkansas,2016,2406,101
Arkansas,2017,2029,117
Arkansas,2018,3378,200
Arkansas,2019,8146,531
Arkansas,2020,13779,802
California,2015,46075,1916
California,2016,91266,3820
California,2017,140054,3911
California,2018,211666,5730
California,2019,320294,12515
California,2020,356692,15601
Colorado,2015,1021,142
Colorado,2016,2203,282
Colorado,2017,3073,303
Colorado,2018,7860,587
Colorado,2019,13133,1051
Colorado,2020,15202,1451
Connecticut,2015,791,58
Connecticut,2016,871,99
Connecticut,2017,1237,127
Connecticut,2018,2548,229
Connecticut,2019,4091,465
Connecticut,2020,9224,1148
Delaware,2015,184,22
Delaware,2016,645,67
Delaware,2017,1127,54
Delaware,2018,1691,74
Delaware,2019,2087,174
Delaware,2020,2827,271
District of Columbia,2015,319,51
District of Columbia,2016,1919,284
District of Columbia,2017,1858,121
District of Columbia,2018,2109,166
District of Columbia,2019,3389,313
District of Columbia,2020,3267,413
Florida,2015,6792,469
Florida,2016,9918,758
Florida,2017,14724,928
Florida,2018,30176,1633
Florida,2019,68131,4812
Florida,2020,86773,6795
Georgia,2015,772,110
Georgia,2016,1199,161
Georgia,2017,2838,243
Georgia,2018,4577,425
Georgia,2019,13157,1202
Georgia,2020,20782,2218
Hawaii,2015,1995,156
Hawaii,2016,3240,186
Hawaii,2017,2425,210
Hawaii,2018,4028,290
Hawaii,2019,5394,518
Hawaii,2020,5150,552
Idaho,2015,341,35
Idaho,2016,1456,82
Idaho,2017,1882,120
Idaho,2018,2981,160
Idaho,2019,2986,279
Idaho,2020,5187,430
Illinois,2015,2015,144
Illinois,2016,6230,230
Illinois,2017,10483,361
Illinois,2018,15051,596
Illinois,2019,24519,1086
Illinois,2020,34718,1892
Indiana,2015,199,45
Indiana,2016,609,113
Indiana,2017,919,123
Indiana,2018,3012,231
Indiana,2019,7369,835
Indiana,2020,11128,1089
Iowa,2015,152,31
Iowa,2016,257,52
Iowa,2017,679,65
Iowa,2018,1414,122
Iowa,2019,2108,248
Iowa,2020,3366,425
Kansas,2015,405,33
