stateProvince,year,num_observations,num_users,urban_obs,pctUrban,stayathome
Alabama,2015,1113,90,434,38.9937106918239,0
Alabama,2016,4846,163,2562,52.8683450268263,0
Alabama,2017,6898,226,3629,52.6094520150768,0
Alabama,2018,11908,472,4087,34.3214645616392,0
Alabama,2019,21938,1016,6359,28.9862339319902,0
Alabama,2020,25809,1407,7782,30.1522724630943,26
Alaska,2015,1972,90,287,14.553752535497,0
Alaska,2016,1645,157,252,15.3191489361702,0
Alaska,2017,6061,168,1025,16.9114007589507,0
Alaska,2018,6425,202,1023,15.9221789883269,0
Alaska,2019,7024,414,978,13.9236902050114,0
Alaska,2020,7418,242,1465,19.7492585602588,28
Arizona,2015,3915,306,683,17.4457215836526,0
Arizona,2016,5492,466,922,16.7880553532411,0
Arizona,2017,27167,601,6887,25.3506091949792,0
Arizona,2018,31976,783,9598,30.0162621966475,0
Arizona,2019,32215,1698,6655,20.658078534844,0
Arizona,2020,32992,2087,8677,26.300315227934,46
Arkansas,2015,1814,69,236,13.0099228224917,0
Arkansas,2016,3034,125,460,15.161502966381,0
Arkansas,2017,2638,145,365,13.8362395754359,0
Arkansas,2018,4411,246,1087,24.6429381092723,0
Arkansas,2019,10124,622,2651,26.1853022520743,0
Arkansas,2020,18297,929,4844,26.4742854019785,0
California,2015,57532,2205,21420,37.2314537996246,0
California,2016,109888,4315,40258,36.6354834012813,0
California,2017,166084,4398,62149,37.4202210929409,0
California,2018,247993,6396,91984,37.0913695144621,0
California,2019,379842,14247,144818,38.1258523280732,0
California,2020,421217,17307,182941,43.4315329153382,104
Colorado,2015,1721,208,417,24.2300987797792,0
Colorado,2016,3639,395,783,21.5169002473207,0
Colorado,2017,6201,457,1563,25.2056119980648,0
Colorado,2018,11365,778,3597,31.6498020237572,0
Colorado,2019,19512,1594,6763,34.6607216072161,0
Colorado,2020,23825,1984,8424,35.3578174186779,32
Connecticut,2015,1333,79,853,63.9909977494374,0
Connecticut,2016,2734,144,2058,75.2743233357718,0
Connecticut,2017,1880,170,879,46.7553191489362,0
Connecticut,2018,4014,310,1807,45.0174389636273,0
Connecticut,2019,6413,696,3154,49.1813503820365,0
Connecticut,2020,13021,1456,6979,53.5980339451655,59
Delaware,2015,198,28,35,17.6767676767677,0
Delaware,2016,764,79,149,19.5026178010471,0
Delaware,2017,1579,82,312,19.7593413552882,0
Delaware,2018,2315,93,581,25.097192224622,0
Delaware,2019,2866,217,683,23.831123517097,0
Delaware,2020,3573,344,1266,35.4324097397145,69
District of Columbia,2015,375,62,370,98.6666666666667,0
District of Columbia,2016,2101,293,2101,100,0
District of Columbia,2017,2370,133,2368,99.915611814346,0
District of Columbia,2018,2487,204,2484,99.8793727382389,0
District of Columbia,2019,4389,423,4381,99.8177261335156,0
District of Columbia,2020,3897,467,3887,99.7433923530921,45
Florida,2015,7410,530,2481,33.4817813765182,0
Florida,2016,11862,861,4606,38.8298769178891,0
Florida,2017,17045,1053,6107,35.8286887650337,0
Florida,2018,38477,1921,17748,46.1262572445877,0
Florida,2019,78500,5410,37023,47.1630573248408,0
Florida,2020,102353,7534,49459,48.3219837229979,28
Georgia,2015,1087,133,341,31.3707451701932,0
Georgia,2016,1470,210,463,31.4965986394558,0
Georgia,2017,3421,315,1459,42.6483484361298,0
Georgia,2018,6130,525,2024,33.0179445350734,0
Georgia,2019,16412,1428,7700,46.9168900804289,0
Georgia,2020,25908,2628,14180,54.7321290721013,28
Hawaii,2015,2541,178,472,18.5753640299095,0
Hawaii,2016,3652,212,1168,31.9824753559693,0
Hawaii,2017,3124,242,860,27.5288092189501,0
Hawaii,2018,5845,341,1993,34.0975192472199,0
Hawaii,2019,6432,649,2439,37.919776119403,0
Hawaii,2020,5594,592,1921,34.340364676439,68
Idaho,2015,483,65,56,11.5942028985507,0
Idaho,2016,2003,133,477,23.8142785821268,0
Idaho,2017,2857,175,546,19.1109555477774,0
Idaho,2018,4549,223,781,17.1686084853814,0
Idaho,2019,4664,428,1013,21.7195540308748,0
Idaho,2020,8260,579,1446,17.5060532687651,37
Illinois,2015,2935,175,1769,60.2725724020443,0
Illinois,2016,8921,281,4434,49.7029480999888,0
Illinois,2017,14488,431,7692,53.0922142462728,0
Illinois,2018,22020,732,12267,55.708446866485,0
Illinois,2019,34908,1476,19420,55.6319468316718,0
Illinois,2020,46632,2375,27097,58.1081660662206,68
Indiana,2015,271,49,122,45.0184501845019,0
Indiana,2016,768,131,446,58.0729166666667,0
Indiana,2017,1476,167,618,41.869918699187,0
Indiana,2018,4664,289,2395,51.3507718696398,0
Indiana,2019,11862,1010,6163,51.9558253245658,0
Indiana,2020,14546,1335,6590,45.3045510793345,39
Iowa,2015,296,39,70,23.6486486486486,0
Iowa,2016,438,68,141,32.1917808219178,0
Iowa,2017,1005,94,364,36.2189054726368,0
Iowa,2018,2121,166,487,22.960867515323,0
Iowa,2019,2942,341,1019,34.6363018354861,0
Iowa,2020,4845,555,1586,32.734778121775,0
Kansas,2015,675,49,135,20,0
Kansas,2016,1964,60,400,20.3665987780041,0
Kansas,2017,1041,102,211,20.268972142171,0
Kansas,2018,2903,164,785,27.0409920771616,0
Kansas,2019,8643,313,2305,26.6689806780053,0
Kansas,2020,7470,524,2898,38.7951807228916,35
Kentucky,2015,532,80,58,10.9022556390977,0
Kentucky,2016,734,125,107,14.5776566757493,0
Kentucky,2017,1202,137,161,13.3943427620632,0
Kentucky,2018,2670,253,521,19.5131086142322,0
Kentucky,2019,8848,620,1461,16.5122061482821,0
Kentucky,2020,10675,884,2269,21.2552693208431,52
Louisiana,2015,1350,93,375,27.7777777777778,0
Louisiana,2016,1890,164,916,48.4656084656085,0
Louisiana,2017,3727,214,1389,37.2685806278508,0
Louisiana,2018,8842,317,3580,40.4885772449672,0
